"sample.id","age"
1,62
2,91
3,119
4,148
5,162
6,176
7,190
8,205
9,221
10,236
11,257
12,267
13,277
14,296
15,305
16,332
17,471
18,514
19,557
20,1076
21,1601
22,2116
23,2622
24,3127
25,3337
26,3551
27,3765
28,3977
29,4190
30,4363
31,4541
32,4733
33,4920
34,5098
