"sample.id","age"
1,-34
2,34
3,106
4,182
5,253
6,326
7,397
8,469
9,578
10,639
11,748
12,851
13,1077
14,1187
15,1406
16,1723
17,2011
18,2297
19,2573
20,2951
21,3045
22,3140
23,3376
24,3515
25,3801
26,3994
27,4089
28,4186
29,4282
30,4349
31,4474
32,4665
33,4952
34,5143
35,5287
36,5439
37,5725
38,5914
39,6106
40,6348
41,6444
42,6733
43,6877
44,6987
45,7213
46,7493
47,7775
48,7992
49,8338
50,8490
