"sample.id","age"
1,704
2,909
3,1114
4,1525
5,1730
6,2137
7,2547
8,2750
9,3161
10,3577
11,4192
12,4606
13,4813
14,5229
15,5639
16,6269
17,6687
18,7314
19,7734
20,8358
21,8771
