"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae undiff.","Betula","Botrychium","Brassicaceae","Carya","Caryophyllaceae undiff.","Corylus","Ericaceae undiff.","Fraxinus","Juglans","Larix","Lycopodiaceae undiff.","Myricaceae undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rhamnaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Shepherdia","Thalictrum","Thuja","Tilia","Tsuga","Ulmus"
"24","15882","Warner Lake",46.11935,-92.03985,136.75,678,1395,868,1,0,14,0,8,0,8,1,25,0,0,0,0,10,0,1,0,0,0,0,1,8,311,50,0,8,0,8,0,28,0,0,2,0,0,0,0,0,1,5
"25","15882","Warner Lake",46.11935,-92.03985,142.75,715,1454,913,0,3,13,2,3,0,6,3,44,1,0,0,0,5,0,1,0,1,0,0,0,12,290,49.5,0,14,0,5,1,24,2,0,2,0,0,0,0,0,1,8
"26","15882","Warner Lake",46.11935,-92.03985,148.75,754,1514,957,1,1,8,1,2,0,9,1,42,0,0,0,2,5,0,2,0,3,1,0,0,15,282,59,0,13,0,4,0,28,1,1,0,1,0,0,1,0,1,3
"27","15882","Warner Lake",46.11935,-92.03985,154.75,794,1573,1003,0,1,15,0,4,0,4,2,43,0,0,0,0,11,0,4,0,4,1,0,0,10,262,65.5,0,3,0,1,2,40,0,0,3,0,0,0,3,0,2,3
"28","15882","Warner Lake",46.11935,-92.03985,160.75,836,1634,1048,2,2,16,6,9,0,5,3,40,0,0,0,0,4,0,3,1,4,0,0,1,6,239,102,0,4,0,3,0,29,0,0,1,0,0,0,1,1,3,3
"29","15882","Warner Lake",46.11935,-92.03985,166.75,880,1692,1093,3,2,13,1,5,1,8,3,29,0,0,1,1,6,0,5,1,4,0,0,4,40,286,40,0,7,0,6,0,18,0,0,0,2,0,0,0,1,1,2
"30","15882","Warner Lake",46.11935,-92.03985,172.75,922,1753,1139,4,1,12,0,8,1,7,2,33,0,1,0,0,4,0,7,0,4,0,0,4,11,249,61.5,0,14,0,4,3,34,0,0,1,2,0,0,1,0,1,6
"31","15882","Warner Lake",46.11935,-92.03985,178.75,966,1814,1184,0,0,20,1,7,0,4,2,35,0,0,0,0,3,0,2,0,2,0,0,1,5,298,48,0,13,0,5,1,31,0,1,3,2,0,0,0,0,0,5
"32","15882","Warner Lake",46.11935,-92.03985,184.75,1009,1874,1230,1,2,25,0,3,0,6,2,25,0,0,0,0,3,0,3,1,0,0,1,4,10,275,62,0,2,1,3,0,35,0,0,0,2,0,0,0,0,0,3
"33","15882","Warner Lake",46.11935,-92.03985,190.75,1054,1938,1275,4,3,20,2,3,0,5,1,31,0,0,0,0,4,0,1,0,1,0,2,0,15,304,46.5,0,9,0,0,3,30,0,0,0,0,0,0,0,0,1,1
