"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Brassicaceae","Cannabaceae undiff.","Carya","Castanea","Ceanothus/Rhamnus","Cornus","Corylus","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Hypericum","Ilex","Juniperus","Larix","Lycopodiaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Saxifraga","Tilia","Tsuga","Ulmus","Viburnum"
"19","14680","Isle au Haut South Hollow",44.031825,-68.630365,29,300,1095,514,0,5,16,0,0,0,3,0,143,0,0,1,0,0,0,6,0,0,4,1,1,1,1,2,1,1,14,53.5,33,55.5,45.5,3,3,0,166,5,0,0,0,0,0,14,0,0
"20","14680","Isle au Haut South Hollow",44.031825,-68.630365,30,312,1259,557,2,7,4,0,1,0,5,0,153,0,0,0,2,0,0,0,0,1,18,8,0,1,7,1,1,0,11,67,127,60.5,107.5,1,0,1,114,8,0,0,3,0,1,23,2,3
"21","14680","Isle au Haut South Hollow",44.031825,-68.630365,31,848,1594,1076,0,3,18,0,0,0,7,0,133,0,0,0,0,0,0,21,0,6,7,10,0,4,2,0,3,2,1,37.5,25.5,15,24.5,0,1,0,223,0,5,0,0,0,0,6,0,8
"22","14680","Isle au Haut South Hollow",44.031825,-68.630365,32,1303,1970,1601,0,2,0,0,1,0,12,0,170,0,0,0,0,0,0,13,0,2,1,8,0,6,0,0,0,2,3,36.5,15.5,30.5,31,0,2,0,203,2,2,0,2,0,0,5,0,1
"23","14680","Isle au Haut South Hollow",44.031825,-68.630365,33,1714,2441,2116,1,2,7,0,0,0,3,0,169,0,0,0,0,0,0,9,0,8,1,10,0,8,0,1,4,2,0,64,33.5,33.5,51,0,0,0,304,4,2,0,0,0,0,13,0,2
"24","14680","Isle au Haut South Hollow",44.031825,-68.630365,34,2097,3011,2622,1.5,2,10,0,0,0,3,0,200,0,0,0,1,0,2,15,0,8,4,17,0,3,0,0,3,4,3,76,31,21,32,1,1,0,404,3,5,0,1,0,0,16,1,5
"25","14680","Isle au Haut South Hollow",44.031825,-68.630365,35,2460,3626,3127,4,7,12,0,1,0,4,1,132,0,1,0,1,2,0,6,0,6,20,1,0,0,24,1,0,2,19,62,86.5,75,45.5,8,6,0,135,25,0,0,0,0,0,31,4,0
"26","14680","Isle au Haut South Hollow",44.031825,-68.630365,36,2730,3797,3337,2.5,3,2,0,1,0,4,0,125,0,0,0,0,0,1,12,0,4,1,20,0,4,0,0,7,2,6,45,0,58,34,0,1,0,247,2,3,0,0,0,0,14,0,4
"27","14680","Isle au Haut South Hollow",44.031825,-68.630365,37,2922,4028,3551,0,3,10,0,1,0,11,0,155,0,0,0,0,0,0,6,0,2,3,9,0,4,0,1,1,2,18,49.5,23,37,39,0,1,0,230,1,0,0,0,0,0,9,0,1
"28","14680","Isle au Haut South Hollow",44.031825,-68.630365,38,3054,4313,3765,0.5,7,6,0,1,0,5,0,269,0,0,0,0,0,0,19,0,6,1,17,0,13,0,0,5,5,2,63.5,32,16,42,2,2,0,422,4,1,0,1,0,0,9,1,0
"29","14680","Isle au Haut South Hollow",44.031825,-68.630365,39,3142,4637,3977,2,11,8,0,0,0,3,0,179,0,0,0,0,0,0,29,0,2,7,26,0,7,2,0,9,6,3,46.5,20,20,28,1,1,0,321,5,1,0,0,0,1,9,1,1
"30","14680","Isle au Haut South Hollow",44.031825,-68.630365,40,3217,4991,4190,8.5,14,9,0,0,0,2,0,187,0,0,0,2,2,1,8,0,2,18,4,0,2,0,0,0,2,61,68,220,210,217,3,2,0,2,35,3,0,0,0,1,3,0,4
"31","14680","Isle au Haut South Hollow",44.031825,-68.630365,41,3576,5042,4363,1.5,4,16,0,2,0,7,0,235,0,0,0,0,0,0,29,0,2,3,65,0,8,0,0,0,2,2,27.5,23,8.5,23.5,2,0,0,345,1,1,0,0,0,0,10,0,2
"32","14680","Isle au Haut South Hollow",44.031825,-68.630365,42,3892,5104,4541,1,4,7,0,0,0,4,0,178,0,0,0,0,0,1,35,0,1,0,46,0,6,1,0,5,5,3,26,15.5,15.5,23,0,3,0,307,1,1,0,2,0,0,6,0,0
"33","14680","Isle au Haut South Hollow",44.031825,-68.630365,43,4128,5185,4733,1,4,6,0,0,0,1,0,141,0,0,0,0,0,0,0,0,4,2,13,0,6,0,1,2,0,22,40.5,18.5,50,53.5,1,2,0,205,1,1,0,0,0,1,6,0,2
"34","14680","Isle au Haut South Hollow",44.031825,-68.630365,44,4282,5332,4920,0,5,12,0,0,0,6,0,195,0,0,0,0,0,0,28,0,3,2,35,0,9,0,0,1,2,1,46,34.5,0,30.5,1,1,0,313,0,0,0,3,0,0,11,0,2
"35","14680","Isle au Haut South Hollow",44.031825,-68.630365,45,4396,5623,5098,0,6,14,0,0,0,1,0,153,0,0,0,0,0,0,1,0,2,0,35,0,3,3,0,5,3,26,41,33.5,17,44.5,1,8,3,320,3,0,0,0,0,0,5,0,1
