"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Botrychium","Carya","Caryophyllaceae undiff.","Castanea","Ceanothus/Rhamnus","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae undiff.","Dennstaedtia","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Huperzia","Ilex","Iva","Juglans","Liquidambar","Lycopodiaceae undiff.","Morus","Myricaceae undiff.","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Populus","Pteridium","Quercus","Ranunculaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Secale","Thalictrum","Tilia","Tsuga","Ulmus","Zea"
"35","14999","Deep Pond",41.739125,-69.992095,136,925,1299,1094,0,19,2,0,0,0,0,2,0,41,0,24,0,3,0,6,7,0,0,3,0,9,0,12,5,0,0,1,0,1,0,0,19,4,1,2,5,9,8,43.5,0,0,1,0,1,15,292,0,1,0,1,0,0,0,14.5,4,0
"36","14999","Deep Pond",41.739125,-69.992095,140,971,1380,1158,0,9,2,0,2,0,0,1,0,49,0,18,0,3,0,5,6,0,0,5,0,8,1,22,3,0,1,0,0,0,0,0,13,0,1,3,2,11,7,44,0,0,3,0,0,7,290,0,0,0,0,0,0,0,9,2,0
"37","14999","Deep Pond",41.739125,-69.992095,144,1027,1444,1223,0,11,8,0,1,0,0,1,0,41,0,14,0,2,1,5,6,0,1,0,0,6,0,22,3,0,0,0,0,0,0,0,34,5,2,1,1.5,8,4,57.5,0,0,2,0,0,6,331,0,1,0,0,0,0,0,22.5,3,0
"38","14999","Deep Pond",41.739125,-69.992095,152,1143,1571,1351,0,12,3,0,2,0,0,3,0,43,0,25,0,0,1,7,10,0,0,0,0,2,0,25,1,3,0,0,1,0,0,0,36,2,2,4,0,3,3,42,0,0,0,0,0,12,278,0,0,0,0,0,0,0,15,5,0
"39","14999","Deep Pond",41.739125,-69.992095,156,1201,1636,1415,0,7,4,0,2,0,0,4,0,51,0,20,0,3,0,8,15,0,0,0,0,3,0,19,6,0,0,0,0,0,0,0,23,3,1,4,1,5,7,33.5,0,3,1,0,0,11,303,0,0,0,0,0,2,0,13,1,0
"40","14999","Deep Pond",41.739125,-69.992095,160,1257,1697,1480,0,4,1,0,1,0,0,1,0,58,0,14,0,0,0,9,11,0,0,0,0,10,2,15,5,0,0,0,1,0,0,0,28,4,2,2,1.5,9,6,30,0,2,5,0,0,11,284,0,0,0,0,0,0,1,18,4,0
"41","14999","Deep Pond",41.739125,-69.992095,164,1331,1749,1542,0,6,6,0,1,0,0,1,0,60,0,16,0,1,0,15,13,0,1,0,0,7,0,32,5,0,0,0,0,0,0,0,30,1,0,2,0.5,6,2,39.5,0,1,3,0,0,8,300,0,0,0,0,0,0,0,9,3,0
"42","14999","Deep Pond",41.739125,-69.992095,168,1398,1801,1603,0,4,8,0,1,0,2,1,0,56,0,11,0,3,0,7,11,0,0,1,0,7,0,22,3,1,3,0,1,0,0,0,30,6,1,1,1,6,1,47.5,0,3,2,0,0,14,266,0,0,0,0,0,0,1,18,5,0
"43","14999","Deep Pond",41.739125,-69.992095,172,1451,1868,1663,0,4,4,0,1,0,1,4,0,29,0,22,0,1,0,10,17,0,0,0,1,5,2,22,2,0,1,0,1,1,0,0,40,6,0,3,1,17,1,32,0,1,2,0,0,8,303,0,0,0,0,0,0,0,10,2,0
"44","14999","Deep Pond",41.739125,-69.992095,176,1497,1946,1719,0,8,6,0,0,0,1,4,0,42,0,19,0,0,1,16,18,0,1,0,0,4,1,30,6,0,0,0,1,0,0,0,40,11,0,3,0.5,15,3,38.5,0,3,4,0,0,12,253,0,0,0,0,0,0,0,15,2,0
"45","14999","Deep Pond",41.739125,-69.992095,184,1594,2086,1831,0,8,5,0,1,0,0,1,0,48,0,17,0,1,0,18,13,0,0,0,0,6,1,29,3,0,3,0,0,0,0,0,34,5,0,4,2,3,3,38,0,1,6,0,0,1,280,0,0,0,0,0,1,0,10,4,0
"46","14999","Deep Pond",41.739125,-69.992095,188,1643,2151,1887,0,10,4,0,0,0,0,0,0,36,0,17,0,2,0,7,13,0,0,0,0,3,0,32,6,0,2,0,1,0,0,0,23,9,0,4,0,8,2,26.5,0,3,1,0,1,18,292,0,1,0,0,0,0,1,16,3,0
"47","14999","Deep Pond",41.739125,-69.992095,192,1690,2216,1943,0,7,5,0,1,0,0,3,0,37,0,22,0,2,0,12,10,0,0,0,0,2,0,32,6,0,3,0,2,0,0,0,49,6,0,1,0,9,1,38,0,0,4,0,0,16,262,0,0,0,0,0,0,0,15,4,0
"48","14999","Deep Pond",41.739125,-69.992095,196,1739,2279,2000,0,7,7,0,1,0,3,3,0,39,0,19,0,1,1,18,22,0,0,0,0,6,0,29,2,0,2,0,0,2,1,0,32,8,3,3,1,5,4,35,0,0,1,0,0,18,271,0,1,0,2,0,1,0,19,3,0
"49","14999","Deep Pond",41.739125,-69.992095,200,1785,2343,2057,0,8,2,2,1,0,2,6,0,47,0,20,0,0,0,13,12,0,0,0,0,3,1,28,1,1,1,1,0,0,0,0,18,12,0,5,1,7,2,32.5,0,1,3,0,0,3,296,0,0,0,0,0,0,1,15,3,0
"50","14999","Deep Pond",41.739125,-69.992095,216,1993,2561,2287,0,10,2,0,1,0,1,3,0,71,0,16,0,1,1,14,8,0,0,0,0,0,2,21,7,0,2,0,0,0,0,0,26,7,0,5,1,7,6,38,0,0,2,0,1,7,267,0,0,0,0,0,0,0,12,6,0
"51","14999","Deep Pond",41.739125,-69.992095,232,2209,2778,2529,0,3,3,0,3,0,2,3,0,55,0,13,0,0,1,12,6,0,0,0,0,2,1,37,10,0,5,0,1,1,0,0,37,5,0,4,1,1,2,18.5,0,1,2,0,0,0,299,0,0,0,0,0,0,0,7,5,0
"52","14999","Deep Pond",41.739125,-69.992095,264,2678,3643,3117,0,0,1,1,1,0,0,1,0,50,0,16,0,0,0,17,5,0,0,0,0,3,1,45,1,0,2,0,0,2,0,0,40,1,0,5,0.5,3,2,25,0,3,2,0,0,5,291,0,0,0,0,0,0,1,9,2,0
"53","14999","Deep Pond",41.739125,-69.992095,280,2923,4055,3435,0,7,3,0,3,1,1,2,0,38,0,15,0,1,0,15,4,0,1,0,0,2,2,45,2,0,1,0,2,0,0,0,41,1,0,4,0,2,3,24.5,0,2,0,0,0,5,298,0,0,0,0,0,0,0,7,5,0
"54","14999","Deep Pond",41.739125,-69.992095,296,3190,4449,3756,0,6,2,1,1,0,0,2,0,45,0,15,0,1,0,10,3,0,0,1,0,2,1,53,7,0,0,1,0,1,0,0,37,1,0,3,0,0,2,23,0,3,3,0,0,4,283,0,0,0,0,0,0,0,16,6,0
"55","14999","Deep Pond",41.739125,-69.992095,312,3455,4835,4076,0,10,7,2,1,0,2,3,0,56,0,9,0,2,0,15,3,0,0,0,1,3,0,87,2,0,1,0,1,0,0,0,24,0,0,6,0,2,2,19.5,0,4,3,0,0,0,252,0,0,0,0,0,1,0,8,5,0
"56","14999","Deep Pond",41.739125,-69.992095,328,3720,5223,4400,0,9,9,1,0,0,0,2,0,53,0,4,0,3,0,6,6,0,0,0,0,8,0,80,1,0,0,0,0,1,0,0,33,2,0,4,0,0,0,23,0,2,2,0,0,1,253,0,0,0,1,0,0,0,8,7,0
"57","14999","Deep Pond",41.739125,-69.992095,344,3995,5601,4723,0,6,7,2,0,1,0,1,0,47,0,4,0,3,0,18,7,0,0,0,0,5,0,126,5,0,0,0,0,1,0,0,27,2,0,6,0,2,0,25,0,5,3,0,1,5,219,0,0,0,0,0,0,0,8,3,0
"58","14999","Deep Pond",41.739125,-69.992095,360,4265,5978,5043,0,5,5,0,1,0,0,2,0,47,0,5,0,0,0,20,17,0,1,0,0,4,0,139,5,0,1,0,0,1,0,0,31,1,0,6,0.5,1,9,25.5,0,4,2,0,0,2,202,0,0,0,0,0,0,0,3,5,0
"59","14999","Deep Pond",41.739125,-69.992095,376,4543,6346,5367,0,9,5,0,3,0,1,1,0,34,0,12,0,2,0,6,8,0,0,2,0,5,0,156,8,0,6,0,0,0,0,0,13,2,0,8,1,2,3,20,0,2,2,0,0,0,202,0,0,0,0,0,0,0,3.5,5,0
"60","14999","Deep Pond",41.739125,-69.992095,392,4823,6715,5688,0,9,4,0,2,0,0,0,0,44,0,7,0,2,0,6,2,0,0,2,0,2,0,113,8,0,0,0,1,0,0,0,28,3,1,12,0.5,2,6,18.5,0,3,3,0,0,1,224,0,0,0,0,0,0,0,4,7,0
"61","14999","Deep Pond",41.739125,-69.992095,416,5243,7261,6174,0,0,36,0,0,0,1,1,0,19,0,0,0,0,0,0,0,0,2,0,0,3,0,4,5,0,1,0,1,0,9,0,2,0,3,9,41.5,42,3,109.5,0,1,6,0,3,5,26,0,1,0,4,0,0,0,0,1,0
