"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Aquifoliaceae undiff.","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Caryophyllaceae undiff.","Celtis","Cephalanthus","Corylus","Cyperaceae","Diphasiastrum","Fabaceae undiff.","Fagus","Fraxinus","Galium","Humulus/Cannabis","Juglans","Lamiaceae undiff.","Larix","Liquidambar","Lycopodiaceae undiff.","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Selaginella","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae"
"11","1967","Portage Marsh",41.576111,-87.2225,180,7,2,3,21,0,0,11,7,0,2,28,0,0,0,0,38,0,0,2,5,0,1,1,4,0,0,0,2,0,7,1,4,0,9,0,9,9,0,0,363,3,2,2,0,0,2,0,1,34,0
"12","1967","Portage Marsh",41.576111,-87.2225,200,5,1,1,16,0,0,1,1,0,1,45,0,0,0,2,23,0,0,1,1,0,0,10,0,0,2,0,0,1,11,2,2,3,34,0,17,2,0,1,253,1,4,2,0,0,0,1,0,54,0
"13","1967","Portage Marsh",41.576111,-87.2225,210,1,2,2,8,0,0,1,0,0,1,24,0,0,0,1,7,0,0,0,9,0,0,7,0,0,0,0,1,0,14,0,4,1,49,0,0,4,0,0,254,0,0,0,0,0,0,2,0,48,0
"14","1967","Portage Marsh",41.576111,-87.2225,230,2,0,0,24,0,1,4,1,0,3,26,0,0,0,10,15,0,0,0,16,0,0,1,0,0,0,0,0,0,9,2,5,4,209,0,0,16,0,1,320,0,1,3,0,0,1,1,0,72,1
"15","1967","Portage Marsh",41.576111,-87.2225,250,6,2,2,9,0,0,0,1,0,4,16,0,0,0,6,3,0,0,3,9,0,2,7,0,0,0,0,1,0,9,3,11,0,109,0,9,6,0,0,212,0,2,5,0,0,0,0,0,35,0
"16","1967","Portage Marsh",41.576111,-87.2225,280,8,0,1,4,0,0,1,0,0,3,25,1,0,0,7,6,0,0,1,9,0,0,6,0,0,0,0,0,0,53,8,25,4,199,0,3,2,2,1,200,0,0,1,0,0,1,0,0,101,0
"17","1967","Portage Marsh",41.576111,-87.2225,300,2,30,3,5,0,0,2,1,1,90,7,0,1,1,44,16,0,1,1,77,0,0,7,0,2,0,0,0,0,23,31,45,10,213,0,0,14,0,2,110,1,6,14,0,0,0,1,0,126,1
"18","1967","Portage Marsh",41.576111,-87.2225,330,0,0,0,3,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,14,0,0,2,0,5,0,0,0,0,0,120,17,3,109,0,0,0,0,0,17,0,0,3,0,0,0,0,0,0,0
"19","1967","Portage Marsh",41.576111,-87.2225,350,4,6,2,5,0,0,0,4,0,5,0,0,0,0,4,37,2,0,0,6,0,0,1,0,8,0,0,0,0,1,154,19,2,118,0,0,3,0,0,9,0,5,6,0,0,0,0,0,4,0
"20","1967","Portage Marsh",41.576111,-87.2225,380,1,4,1,2,0,0,2,1,0,1,0,0,0,0,0,13,0,0,0,4,0,0,0,0,5,0,0,0,0,3,192,7,0,99,0,0,4,0,1,9,0,1,4,0,0,0,0,0,4,0
"21","1967","Portage Marsh",41.576111,-87.2225,400,0,8,0,2,0,0,3,2,1,1,0,0,0,0,2,18,0,0,0,5,0,0,0,0,2,0,0,0,0,6,210,22,1,62,0,0,5,0,1,15,0,3,2,0,0,0,0,0,8,0
