"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae undiff.","Betula","Caprifoliaceae undiff.","Carya","Corylus","Cupressaceae undiff.","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Lycopodiaceae undiff.","Ostrya/Carpinus","Picea","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polygonaceae undiff.","Quercus","Rosaceae undiff.","Salix","Tilia","Tsuga","Ulmus"
"49","GS5","Lake Ojibway",48.100617,-88.611203,750,4,40,13,13,13,3,320,0,0,4,0,0,0,1,9,2,0,126,5,20,100,384,4,0,21,0,1,0,1,12
"50","GS5","Lake Ojibway",48.100617,-88.611203,760,3,51,8,26,16,4,300,0,0,2,0,0,0,3,4,0,2,36,0,33,75,685,3,1,22,1,1,0,0,12
"51","GS5","Lake Ojibway",48.100617,-88.611203,770,1,45,8,19,15,1,329,0,1,3,4,0,0,0,3,0,3,191,2,23,72,358,13,0,10,1,2,0,0,14
"52","GS5","Lake Ojibway",48.100617,-88.611203,780,0,64,8,16,19,3,342,0,2,5,0,0,0,0,4,0,0,53,0,36,47,290,1,0,13,0,3,0,0,8
"53","GS5","Lake Ojibway",48.100617,-88.611203,790,4,146,9,6,15,4,307,0,2,5,6,0,1,3,5,0,0,154,1,27,28,234,7,0,16,0,10,0,0,7
"54","GS5","Lake Ojibway",48.100617,-88.611203,800,0,68,7,7,20,0,345,0,1,1,0,0,0,0,2,2,0,66,0,37,20,228,2,0,16,1,3,0,0,2
"55","GS5","Lake Ojibway",48.100617,-88.611203,810,0,94,5,7,20,3,292,0,0,7,0,0,0,0,3,1,1,122,0,44,8,180,9,0,14,0,3,0,0,8
"56","GS5","Lake Ojibway",48.100617,-88.611203,820,4,72,12,18,22,2,335,0,2,0,2,0,0,1,0,3,3,59,0,59,12,212,2,1,15,0,6,0,0,4
"57","GS5","Lake Ojibway",48.100617,-88.611203,830,2,44,15,18,36,3,243,0,0,12,13,0,0,0,7,0,4,287,0,115,10,316,4,0,16,1,9,0,0,13
"58","GS5","Lake Ojibway",48.100617,-88.611203,840,0,13,14,17,33,5,230,0,0,5,14,1,0,2,22,3,0,58,12,158,7,265,9,0,29,4,7,1,0,22
"59","GS5","Lake Ojibway",48.100617,-88.611203,846,0,7,11,28,27,2,64,0,2,0,3,0,0,0,15,0,0,39,8,138,7,314,5,0,42,1,5,3,0,24
