"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Betula","Cannabaceae undiff.","Carya","Caryophyllaceae undiff.","Castanea","Cornus","Corylus","Cyperaceae","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Hamamelis","Ilex","Juniperus","Larix","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rhus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Tilia","Tsuga","Ulmus","Viburnum","Vitaceae"
"39","14678","Isle au Haut North Hollow",44.0651,-68.6354,50,2,15,0,0,0,0,0,4,152,0,0,0,1,0,7,0,0,0,2,22,0,5,0,0,5,0,1,41,42.5,0,42,26,0,0,0,319,1,0,0,0,0,1,2,8,0,0,0
"40","14678","Isle au Haut North Hollow",44.0651,-68.6354,51,7,15,0,0,0,0,0,3,136,0,0,0,0,0,10,14,1,0,12,4,0,0,3,0,0,0,0,4,49,40,56,24,0,2,1,1,20,0,1,0,0,0,0,29,2,5,0
"41","14678","Isle au Haut North Hollow",44.0651,-68.6354,52,4,11,0,0,0,6,0,2,97,0,0,0,0,0,5,4,0,8,10,0,1,1,0,0,0,4,0,2,34.5,36.5,87,22.5,0,0,1,2,5,0,2,0,1,0,0,23,1,2,0
"42","14678","Isle au Haut North Hollow",44.0651,-68.6354,53,2,5,0,0,0,0,0,0,54,0,0,1,1,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,14.5,13.5,44.5,15,1,0,0,0,6,0,2,0,0,0,0,13,0,2,0
"43","14678","Isle au Haut North Hollow",44.0651,-68.6354,55,3,4,0,0,0,0,0,0,33,0,0,0,0,1,5,1,0,0,5,0,0,2,0,0,0,0,0,2,13,11.5,46,6.5,0,0,1,1,5,0,1,0,2,0,0,12,0,2,0
"44","14678","Isle au Haut North Hollow",44.0651,-68.6354,56,2,27,0,0,0,0,0,0,104,0,0,0,0,0,1,1,0,0,6,0,0,15,0,0,0,2,0,0,43,37,87,23,0,0,0,0,11,0,8,0,2,0,0,12,1,3,0
"45","14678","Isle au Haut North Hollow",44.0651,-68.6354,57,1,33,0,3,0,0,0,0,128,0,0,0,1,0,4,1,0,0,2,1,0,5,2,0,1,0,0,0,24.5,7,34,23,0,0,1,1,8,0,2,0,1,0,0,6,0,3,0
"46","14678","Isle au Haut North Hollow",44.0651,-68.6354,58,1,6,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,16,0,18.5,7.5,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0
"47","14678","Isle au Haut North Hollow",44.0651,-68.6354,61,4,4,0,3,0,0,0,1,162,0,0,0,0,0,9,0,0,14,0,44,0,20,0,0,9,0,9,56,62.5,0,81,79,0,56,0,681,1,0,0,0,0,0,0,9,0,2,0
"48","14678","Isle au Haut North Hollow",44.0651,-68.6354,63,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,5,27.5,6.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"49","14678","Isle au Haut North Hollow",44.0651,-68.6354,65,4,0,1,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,44,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
