"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Arceuthobium","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Betula","Carya","Caryophyllaceae undiff.","Castanea","Corylus","Cystopteris","Ericaceae undiff.","Fagus","Fraxinus","Hamamelis","Ilex","Juniperus","Larix","Lycopodiaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Polypodiaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sambucus","Thalictrum","Tilia","Tsuga","Ulmus","Viburnum"
"22","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,44,3228,3956,3634,9.5,11,3,0,1,0,0,0,0,0,164,0,0,0,0,0,0,5,4,1,1,2,0,5,25,1,29,0,45.5,1,0,23,0,0,11,8,0,0,0,0,0,11,1,1
"23","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,47,3453,4188,3812,17.5,8,3,0,1,0,0,0,1,0,229,0,0,0,0,0,0,5,8,0,0,0,0,0,36,0,68.5,1,98.5,1,1,33,4,2,23,17,0,0,0,1,0,20,0,1
"24","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,48,3509,4242,3867,15,6,2,0,0,0,1,0,0,0,130,0,0,1,0,0,0,4,8,0,2,0,0,0,29,0,45.5,3,47.5,2.5,0,13,0,1,6,3,0,0,0,1,0,7,1,0
"25","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,50,3585,4411,3972,10.5,12,3,0,0,0,3,0,1,0,123,0,0,0,3,0,0,4,0,5,0,0,0,11,68,1,71.5,0,93.5,1,0,67,2,1,7,5,0,0,0,0,0,7,1,0
"26","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,52,4113,4755,4507,2,11,8,0,0,0,0,0,4,1,150,0,0,0,0,0,0,0,5,0,1,4,0,39,78,0,36,0,81.5,0,0,56,0,4,6,9,0,0,0,0,0,16,0,0
"27","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,53,4251,5120,4764,6,9,10,0,2,0,0,0,5,0,111,0,0,0,0,0,0,3,2,0,2,0,0,35,79,0,27.5,5,141.5,11.5,0,52,0,7,7,3,0,1,0,0,0,34,0,0
"28","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,54,4355,5545,5014,11,4,14,0,1,0,0,0,0,0,65,0,0,0,0,0,0,1,3,0,1,0,1,12,55,0,19.5,3,128.5,26,0,61,0,4,6,2,0,0,0,0,0,27,2,0
"29","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,55,4443,5985,5267,4.5,7,7,0,1,0,0,1,3,0,86,0,0,0,0,0,0,0,2,0,0,21,0,24,94,0,19.5,0,171,2.5,0,86,0,0,8,10,0,0,0,0,0,61,1,0
"30","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,56,4882,6257,5620,3,7,8,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,1,0,20,60,0,5.5,0,143.5,30,0,46,0,2,8,4,0,0,0,0,0,56,0,0
"31","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,58,5399,6964,6372,3,4,15,0,0,0,0,1,0,0,97,0,0,0,1,0,0,0,1,0,0,1,0,35,45,0,2.5,4,156,21.5,0,79,0,0,7,2,0,0,0,0,0,29,0,0
"32","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,60,5687,7902,7127,11.5,22,51,0,1,0,0,1,8,0,143,0,1,0,0,0,0,1,8,0,1,0,0,7,65,1,5,4,231,13,11,51,3,5,29,10,0,2,0,1,0,17,1,0
"33","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,62,6784,8010,7529,1,7,64,0,2,0,18,0,1,0,111,0,0,0,0,0,0,1,4,0,15,0,0,0,25,0,4,5,138.5,6.5,0,64,0,1,5,8,0,25,0,2,0,13,1,0
"34","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,64,7503,8352,7963,0.5,7,33,0,0,0,3,0,0,0,81,0,0,0,0,0,0,0,4,0,0,2,0,0,32,0,4.5,4,214.5,17,0,40,0,1,12,5,0,13,0,1,0,19,0,0
"35","14684","Schoodic Peninsula Hollow",44.37328,-68.0726,65,7637,8836,8165,2,14,51,1,3,0,0,1,1,1,91,0,0,1,0,1,0,0,7,0,5,0,1,9,82,2,27.5,1,251,0,1,49,0,1,18,3,0,6,0,0,0,15,0,0
