"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Apiaceae","Araliaceae","Artemisia","Asteraceae subf. Asteroideae","Asteraceae subf. Cichorioideae","Athyrium","Betula","Brassicaceae","Carya","Caryophyllaceae undiff.","Castanea","Ceanothus/Rhamnus","Cephalanthus","Cistaceae undiff.","Cladium","Clethra","Coniferae undiff.","Cornus","Corylus","Cupressaceae undiff.","Cyperaceae","Cystopteris","Dryopteris","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Gentianaceae undiff.","Humulus/Cannabis","Huperzia","Hypericum","Ilex","Impatiens","Iridaceae undiff.","Iva","Juglans","Lamiaceae undiff.","Larix","Liquidambar","Lycopodiaceae undiff.","Moraceae undiff.","Myrica","Nyssa","Ophioglossum","Osmundaceae.undiff.","Ostrya/Carpinus","Oxalidaceae","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Plumbaginaceae","Poaceae undiff.","Polygonaceae undiff.","Polypodium","Populus","Potentilla","Primula","Pteridium","Quercus","Ranunculus","Rhus","Rosaceae undiff.","Rubiaceae undiff.","Rubus","Rumex/Oxyria","Salix","Sambucus","Saxifragaceae undiff.","Secale","Solanaceae undiff.","Thalictrum","Tilia","Trifolium","Tsuga","Ulmus","Urticaceae","Viburnum","Vitis","Zea"
"29","15003","Icehouse Pond",41.797995,-69.960575,224,6,7,1,3,0,0,0,0,0,0,28,0,35,0,0,0,1,0,0,2,0,0,0,1,1,0,6,2,0,27,2,0,0,0,0,58,0,0,0,1,0,0,0,0,0,18,16,0,21,8,0,2,1,5,40,8,1,0,0,0,0,0,0,0,8,240,0,1,3,0,0,0,0,0,2,0,0,0,0,0,25,0,0,0,1,0
"30","15003","Icehouse Pond",41.797995,-69.960575,232,13,1,0,0,0,0,2,0,0,0,25,0,41,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,0,22,1,1,0,0,0,62,0,0,1,1,0,0,0,0,0,22,14,0,6,0,0,1,3,1,27,10,0,0,3,3,0,0,0,0,1,238,0,2,2,0,0,0,1,0,0,0,0,0,0,0,15,5,0,0,0,0
"31","15003","Icehouse Pond",41.797995,-69.960575,240,4,2,0,0,2,0,0,2,0,0,34,0,28,0,0,0,5,0,0,3,0,0,4,2,1,0,8,2,2,12,7,0,0,0,0,101,0,0,0,0,0,0,0,0,0,19,12,0,14,0,0,2,4,2,49,2,0,0,2,2,4,2,0,0,5,199,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,2,1,0
"32","15003","Icehouse Pond",41.797995,-69.960575,248,15,2,0,1,0,0,0,2,0,0,43,0,32,0,0,0,3,0,0,2,0,0,6,3,0,0,8,2,3,22,4,0,0,0,1,129,0,0,1,0,0,0,1,0,0,23,14,0,24,7,0,2,5,4,34,6,0,0,5,0,0,0,0,0,20,215,0,2,1,0,0,1,0,0,0,0,0,0,0,0,22,1,0,0,0,0
"33","15003","Icehouse Pond",41.797995,-69.960575,256,15,1,0,1,3,0,0,1,0,0,43,0,37,0,1,0,0,0,0,0,0,0,2,6,0,0,5,1,0,10,1,1,0,0,0,116,0,0,0,0,0,0,0,0,0,11,17,0,10,3,0,3,5,2,42,4,1,0,3,4,1,0,0,0,8,224,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,5,0,0,0,0
"34","15003","Icehouse Pond",41.797995,-69.960575,264,10,1,1,1,1,0,0,0,0,0,46,0,44,0,0,0,1,0,0,3,0,0,5,3,2,0,13,2,0,25,6,0,0,0,0,110,0,0,0,0,0,0,0,0,0,25,11,0,9,0,0,0,4,3,38,5,2,0,2,1,0,0,0,0,0,181,0,2,1,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,1,0
"35","15003","Icehouse Pond",41.797995,-69.960575,272,8,3,1,0,0,0,0,0,0,0,40,0,43,0,0,1,1,0,0,1,0,0,2,4,2,0,5,1,0,27,3,0,0,0,0,93,0,0,0,0,0,2,1,0,0,20,11,0,14,5,0,1,9,1,41,6,1,0,6,0,3,0,0,0,4,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,1,0,0,0
"36","15003","Icehouse Pond",41.797995,-69.960575,280,9,3,0,4,0,0,1,0,0,0,40,0,25,0,1,0,2,0,0,1,0,0,5,2,1,0,13,0,0,28,3,0,0,0,0,94,0,0,0,0,0,0,1,0,0,22,6,2,18,2,0,1,9,3,60,5,0,0,2,0,0,1,0,0,9,177,0,1,3,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,2,0
"37","15003","Icehouse Pond",41.797995,-69.960575,288,12,2,0,1,0,0,0,1,0,0,35,0,47,0,0,0,1,0,0,2,0,0,6,3,2,0,7,3,1,25,0,0,0,0,0,80,0,0,0,0,0,0,1,0,0,19,18,2,15,6,0,1,8,3,56,1,1,0,4,0,0,0,0,0,0,151,0,1,1,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0
"38","15003","Icehouse Pond",41.797995,-69.960575,296,9,7,0,0,0,0,0,2,0,0,33,0,33,0,0,0,3,0,0,3,0,0,11,5,0,0,7,2,0,21,3,0,0,1,0,84,0,0,2,0,0,0,0,0,0,16,11,1,15,5,0,2,2,3,41,7,1,0,6,0,0,0,0,0,4,181,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,2,0,0,2,0
"39","15003","Icehouse Pond",41.797995,-69.960575,304,7,2,0,0,0,0,0,1,0,0,36,0,33,0,3,0,3,0,0,2,0,0,0,5,1,0,13,1,0,16,1,1,0,0,0,92,0,0,0,1,0,0,1,0,0,18,21,0,15,6,0,1,8,9,51,5,1,0,2,0,0,2,0,0,6,169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0
