"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Aquifoliaceae undiff.","Artemisia","Asteraceae undiff.","Betula","Carya","Castanea","Corylus","Cupressaceae undiff.","Ericaceae undiff.","Fagus","Fraxinus","Juglans","Larix","Myricaceae undiff.","Nyssa","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Plantago","Platanus","Poaceae undiff.","Populus","Quercus","Rumex/Oxyria","Salix","Tilia","Tsuga","Ulmus"
"28","GS8","Stockton Bog",46.927372,-90.557034,250.5,1931,2867,2449,4,5,25,1,1,0,2,0,42,1,0,0,0,7,1,2,0,1,0,0,6,0,95,59,0,1,4,0,14,0,0,1,1,1
"29","GS8","Stockton Bog",46.927372,-90.557034,280.5,2207,3168,2729,4,2,20,0,1,0,2,1,46,0,0,1,1,40,0,1,0,0,2,0,5,3,44,115,0,1,2,0,16,0,3,0,2,0
"30","GS8","Stockton Bog",46.927372,-90.557034,300.5,2391,3365,2915,3,2,14,0,0,0,5,3,31,1,0,0,0,25,0,1,0,0,0,0,3,1,55,131,0,1,3,0,20,2,2,0,0,2
"31","GS8","Stockton Bog",46.927372,-90.557034,326.5,2630,3620,3158,7,14,11,3,4,0,10,3,61,1,0,1,6,0,1,6,0,2,0,0,9,1,89,150,0,4,6,1,38,0,3,1,0,1
"32","GS8","Stockton Bog",46.927372,-90.557034,380.5,3129,4133,3663,1,1,5,2,3,0,1,1,32,0,0,0,2,0,0,1,0,0,0,0,0,0,54,101,0,0,2,0,15,1,1,0,1,2
"33","GS8","Stockton Bog",46.927372,-90.557034,390.5,3220,4227,3756,0,2,5,1,1,0,5,1,40,0,0,0,3,0,0,6,0,1,0,0,4,0,51,130,0,0,2,0,14,0,0,0,0,9
"34","GS8","Stockton Bog",46.927372,-90.557034,400.5,3303,4315,3849,3,4,21,2,2,0,6,1,61,0,1,0,5,0,0,1,0,0,0,0,5,3,70,170,0,0,5,0,19,0,3,0,0,5
"35","GS8","Stockton Bog",46.927372,-90.557034,426.5,3515,4511,4038,2,3,24,1,3,0,7,6,56,0,0,0,7,0,1,8,0,1,0,1,8,2,29,208,0,0,7,0,29,0,1,0,2,7
"36","GS8","Stockton Bog",46.927372,-90.557034,440.5,3627,4616,4142,2,2,14,1,3,0,5,2,54,1,0,1,8,0,1,4,0,1,2,0,2,0,51,127,0,1,12,1,34,0,3,0,0,5
"37","GS8","Stockton Bog",46.927372,-90.557034,460.5,3787,4765,4289,4,4,9,2,4,0,3,2,19,0,0,0,1,0,2,0,0,0,0,0,4,1,41,168,0,0,1,0,14,0,1,1,0,3
