"","dataset.id","site.name","lat","long","depth","age.young","age.old","age","Abies","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Caryophyllaceae undiff.","Celtis","Corylus","Diphasiastrum","Epilobium","Ericaceae undiff.","Fagus","Fraxinus","Galium","Humulus/Cannabis","Huperzia","Ilex","Iva","Juglans","Larix","Lycopodiaceae undiff.","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Populus","Pteridium","Quercus","Rosaceae undiff.","Rubus","Rumex/Oxyria","Salix","Sarcobatus","Thalictrum","Thuja","Tilia","Tsuga","Ulmus","Vitis","Xanthium"
"14","15489","Ferry Lake",46.013,-92.125,86.5,405,760,520,3,8,20,0,4,11,2,53,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,6,6,107,48,126,0,1,5,4,1,31,0,0,0,3,0,0,7,0,2,6,0,1
"15","15489","Ferry Lake",46.013,-92.125,88.5,421,782,545,5,6,8,2,4,3,0,52,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,5,5,85,56,202,0,0,2,3,0,37,0,0,0,1,0,0,2,0,4,9,0,0
"16","15489","Ferry Lake",46.013,-92.125,91.5,446,817,583,3,5,13,5,3,5,5,72,0,0,0,4,0,0,0,0,3,0,1,0,0,1,1,2,1,0,1,9,6,124,73,161,0,0,1,5,3,46,0,0,0,0,0,1,3,1,3,7,0,0
"17","15489","Ferry Lake",46.013,-92.125,94.5,469,855,624,3,7,13,1,6,8,1,61,1,1,0,4,0,0,0,0,5,0,0,0,0,0,1,2,0,0,1,14,5,103,107,185,0,0,5,4,0,47,0,0,0,0,0,0,2,2,2,4,0,0
"18","15489","Ferry Lake",46.013,-92.125,96.5,491,877,650,3,9,12,1,9,6,2,87,1,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,5,4,130,130,249,0,0,5,3,1,53,0,0,0,2,0,0,4,0,8,2,0,0
"19","15489","Ferry Lake",46.013,-92.125,98.5,508,901,676,1,5,18,2,9,6,3,98,1,2,0,5,0,0,0,1,4,0,0,1,0,1,2,0,6,0,0,11,7,67,82,292,0,0,4,3,2,58,0,0,0,1,0,0,1,0,10,8,0,1
"20","15489","Ferry Lake",46.013,-92.125,100.5,526,927,702,1,7,18,2,7,11,3,106,0,1,0,7,0,0,0,1,5,0,0,0,0,1,1,1,1,0,1,16,5,71,60,274,0,0,4,1,0,69,0,0,0,1,0,0,0,1,3,7,0,1
"21","15489","Ferry Lake",46.013,-92.125,103.5,559,959,740,0,9,5,1,8,7,2,59,0,0,0,3,0,0,0,0,6,0,0,0,0,2,0,1,0,0,3,1,1,84,112,130,0,0,3,3,0,43,0,0,0,1,0,0,5,0,3,3,0,0
"22","15489","Ferry Lake",46.013,-92.125,106.5,592,993,777,1,1,21,1,4,5,5,77,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,2,0,0,13,5,99,44,247,0,1,4,2,0,73,0,0,0,2,0,1,0,1,2,8,0,0
"23","15489","Ferry Lake",46.013,-92.125,109.5,621,1029,815,5,3,26,1,14,14,1,75,1,0,0,6,0,0,0,0,4,0,1,0,0,2,0,1,1,0,0,0,8,142,122,147,0,1,2,8,0,66,0,0,0,1,0,1,3,0,3,5,0,0
