"","dataset.id","site.name","lat","long","depth","Acer","Alismataceae","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Asteraceae undiff.","Betula","Botrychium","Brassicaceae","Campanulaceae undiff.","Cannabaceae undiff.","Carya","Castanea","Ceanothus/Rhamnus","Celtis","Cephalanthus","Cornus","Corylus","Cupressaceae undiff.","Cyperaceae","Dryopteris","Elaeagnaceae undiff.","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Galium","Ilex","Impatiens","Iva","Juglans","Larix","Liquidambar","Lycopodiaceae undiff.","Mentha","Moraceae undiff.","Morus","Myrica","Nyssa","Osmundaceae.undiff.","Ostrya/Carpinus","Oxalidaceae","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Plantago","Platanus","Poaceae undiff.","Polygonaceae undiff.","Polypodiophyta undiff.","Polypodium","Populus","Potentilla","Pteridium","Quercus","Ranunculaceae undiff.","Rosaceae undiff.","Rumex/Oxyria","Salix","Salsola","Sambucus","Sarcobatus","Saxifragaceae undiff.","Stachys","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Viburnum","Vitaceae","Xanthium","Zanthoxylum"
"15","19937","Spicer Lake",41.75738,-86.52208,112.5,24,0,0,2,3,0,1,1,4,0,0,0,0,7,0,0,3,1,1,4,6,14,0,0,0,0,8,36,1,0,0,1,4,14,0,0,0,0,1,0,1,1,3,0,1.5,0,1,0.5,2,0,5,1,0,0,9,0,0,123,0,1,2,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0
"16","19937","Spicer Lake",41.75738,-86.52208,120.5,46,0,1,3,1,0,0,2,1,0,0,0,0,20,0,0,1,1,0,1,4,15,0,1,2,0,5,22,0,0,0,2,5,11,0,1,0,0,1,0,4,3,7,0,5,1,1,1,0,0,3,0,0,0,5,0,0,104,0,0,9,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0
"17","19937","Spicer Lake",41.75738,-86.52208,128.5,42,0,1,1,2,0,1,3,1,2,0,0,0,18,0,0,1,0,1,2,2,15,0,1,0,0,9,25,0,0,0,1,5,7,0,2,0,0,0,0,0,2,1,0,0.5,0,0,0,1,0,4,0,0,0,2,0,2,132,1,0,12,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"18","19937","Spicer Lake",41.75738,-86.52208,136.5,37,0,0,1,4,0,0,5,0,0,0,0,0,18,0,0,3,1,1,2,6,7,1,0,0,0,6,35,0,0,0,1,1,8,0,0,0,0,0,0,2,1,1,0,3,1,0,1,0,0,4,1,0,0,3,0,0,140,1,0,11,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0
"19","19937","Spicer Lake",41.75738,-86.52208,144.5,28,0,0,3,4,0,1,3,2,0,0,0,0,25,0,0,1,1,0,0,7,3,0,0,1,0,9,19,0,0,0,0,3,2,0,3,0,0,1,0,2,1,5,0,1.5,3.5,0,0,0,0,3,2,0,0,7,0,5,132,1,0,10,1,0,0,0,0,0,0,2,0,10,0,0,0,0,0
"20","19937","Spicer Lake",41.75738,-86.52208,152.5,35,0,0,4,3,0,2,3,2,0,0,0,0,14,0,0,4,0,0,4,5,2,0,0,0,0,12,47,5,0,0,0,2,10,0,4,0,0,0,0,5,4,15,0,3,0,0,0.5,2,0,5,4,0,0,6,0,0,82,0,0,8,0,0,0,0,0,0,0,1,0,14,0,0,0,4,0
"21","19937","Spicer Lake",41.75738,-86.52208,160.5,21,0,0,0,2,1,2,0,2,0,0,0,0,21,0,0,2,1,2,1,6,4,0,0,0,0,10,20,0,0,0,0,2,6,0,1,0,0,1,0,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,1,3,124,0,0,20,2,0,0,0,0,0,0,3,0,13,0,0,0,0,0
"22","19937","Spicer Lake",41.75738,-86.52208,168.5,35,0,0,0,6,3,0,3,5,0,0,0,0,8,0,0,1,0,0,4,9,3,0,0,1,0,14,29,0,1,0,0,1,3,0,0,0,0,0,0,1,7,1,0,0.5,2,0,1,0,0,3,1,0,0,0,0,1,120,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"23","19937","Spicer Lake",41.75738,-86.52208,176.5,24,0,0,2,2,3,0,5,3,0,0,0,0,18,0,0,1,4,0,4,7,0,0,0,0,0,12,29,0,0,0,0,0,4,0,0,0,0,1,0,3,6,1,0,0,2,0,2.5,0,0,7,7,0,0,0,0,2,121,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0
"24","19937","Spicer Lake",41.75738,-86.52208,184.5,33,0,1,2,5,4,2,2,1,0,0,0,0,18,0,0,0,0,0,2,7,1,1,0,0,0,62,9,0,0,0,0,4,6,0,0,0,0,2,0,0,2,6,0,0.5,3,1,0.5,1,0,2,1,0,0,0,0,0,55,0,0,4,0,0,0,0,0,0,0,7,0,25,0,0,2,0,0
"25","19937","Spicer Lake",41.75738,-86.52208,192.5,38,0,2,2,2,1,0,1,2,0,0,0,0,12,0,0,1,0,0,1,3,3,0,0,0,0,68,35,0,0,0,0,5,10,0,0,0,0,2,0,6,2,3,0,1,1,0,0,3,0,3,1,0,0,2,0,0,47,0,0,10,1,0,0,0,0,0,0,4,0,28,0,0,1,0,0
"26","19937","Spicer Lake",41.75738,-86.52208,200.5,33,0,0,0,6,1,0,1,1,0,0,0,0,18,0,0,1,0,0,4,4,6,0,0,0,0,47,33,0,0,0,0,6,3,0,0,0,0,1,0,2,2,2,0,0.5,0,0,0,1,0,6,4,0,0,0,0,0,66,0,0,9,2,0,0,0,0,0,0,6,0,31,0,0,1,0,0
"27","19937","Spicer Lake",41.75738,-86.52208,208.5,34,0,0,0,0,2,0,5,1,0,0,0,0,16,1,0,0,0,0,2,8,2,0,0,0,0,42,27,1,0,0,0,5,7,0,0,1,0,0,0,6,3,4,0,0.5,0,1,0,3,0,4,2,0,0,0,0,0,76,0,0,10,1,0,0,0,0,0,0,3,0,32,0,0,1,0,0
"28","19937","Spicer Lake",41.75738,-86.52208,216.5,29,0,2,1,4,2,0,4,0,0,0,0,0,21,0,0,0,0,1,5,6,3,0,0,0,0,29,31,1,0,0,0,7,4,0,0,0,0,0,0,3,0,5,0,1.5,1,0,1.5,2,0,6,2,0,0,0,0,0,88,0,0,4,1,0,0,0,0,0,0,5,0,22,0,0,3,0,0
"29","19937","Spicer Lake",41.75738,-86.52208,224.5,41,0,0,4,2,1,0,3,2,0,0,0,0,23,0,0,1,0,0,4,3,3,0,0,0,0,12,26,0,0,0,0,4,1,0,0,0,0,0,0,1,0,8,0,1.5,0,1,0.5,0,0,2,3,0,0,2,0,0,109,0,1,19,3,0,0,0,0,0,0,4,0,11,0,0,0,0,0
"30","19937","Spicer Lake",41.75738,-86.52208,232.5,34,0,0,2,4,1,1,0,0,0,0,0,0,6,0,0,1,0,0,7,4,5,0,0,0,0,7,34,0,0,0,0,5,6,0,0,0,0,1,0,4,0,4,0,0,0,0,0,0,0,3,1,0,0,0,0,0,88,0,0,11,2,0,0,0,0,0,0,0,0,21,0,0,1,0,0
"31","19937","Spicer Lake",41.75738,-86.52208,240.5,21,0,1,0,8,1,2,3,2,0,0,0,0,17,0,0,1,0,0,0,0,4,0,0,4,0,30,11,0,0,0,0,3,5,0,0,0,0,3,0,0,4,2,0,0,0,3,0,2,0,4,1,0,0,2,0,0,97,0,0,10,0,0,0,0,0,0,0,10,0,22,0,0,2,0,0
"32","19937","Spicer Lake",41.75738,-86.52208,248.5,27,0,0,2,6,1,0,1,4,0,0,0,0,7,0,0,0,0,0,5,4,1,1,0,1,0,28,21,0,0,0,0,4,4,0,0,0,0,1,0,0,5,0,0,0,0,1,1,2,0,6,10,0,0,2,0,0,103,0,0,4,0,0,0,0,0,1,0,3,0,21,0,0,1,1,0
"33","19937","Spicer Lake",41.75738,-86.52208,256.5,23,0,0,4,0,0,0,1,3,0,0,0,0,23,0,0,1,0,0,1,2,3,0,0,0,0,28,27,2,0,1,0,7,5,0,0,0,0,0,0,2,1,5,0,0,1,0,2,1,0,3,1,0,0,2,0,0,87,0,0,6,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0
"34","19937","Spicer Lake",41.75738,-86.52208,264.5,26,0,0,3,6,0,0,3,3,0,0,0,0,14,0,0,1,0,0,1,4,3,0,0,0,0,45,14,0,0,1,0,9,5,0,0,0,0,0,0,1,3,1,0,4,1,0,0.5,0,0,3,0,0,0,2,0,0,71,0,0,11,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0
