"","dataset.id","site.name","lat","long","depth","Acer","Alnus","Amaranthaceae undiff.","Ambrosia","Artemisia","Asteraceae subf. Asteroideae","Betula","Carya","Corylus","Cupressaceae undiff.","Cyperaceae","Ericaceae undiff.","Fagus","Fraxinus","Huperzia","Juglans","Larix","Lycopodiaceae undiff.","Menyanthes","Myricaceae undiff.","Osmundaceae.undiff.","Ostrya/Carpinus","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Poaceae undiff.","Pteridium","Quercus","Salix","Tilia","Tsuga","Ulmus"
"19","20397","South Rhody peatland",46.565795,-86.0752,96.5,1,1,0,0,0,0,38,0,0,0,1,0,19,0,0,0,1,0,0,0,0,0,4,16,79,8,0,0,1,0,0,32,2
"20","20397","South Rhody peatland",46.565795,-86.0752,100.5,0,0,0,0,2,0,42,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,8,11,87,19,0,0,2,0,0,21,0
"21","20397","South Rhody peatland",46.565795,-86.0752,106.5,2,0,0,0,1,0,19,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,13,36,86,13,0,1,3,0,0,15,1
"22","20397","South Rhody peatland",46.565795,-86.0752,110.5,3,1,0,1,1,0,95,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,4,11,18,12,0,0,11,0,0,34,0
"23","20397","South Rhody peatland",46.565795,-86.0752,116.5,0,1,1,1,1,0,27,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37,109,15,0,0,2,1,0,7,1
"24","20397","South Rhody peatland",46.565795,-86.0752,120.5,2,0,0,0,0,1,54,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,34,55,14,0,0,8,0,0,25,0
"25","20397","South Rhody peatland",46.565795,-86.0752,126.5,2,0,0,1,0,0,63,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,6,33,52,9,0,0,3,0,0,28,0
"26","20397","South Rhody peatland",46.565795,-86.0752,129.5,0,0,0,0,0,1,31,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,5,31,107,11,0,0,4,0,0,15,0
"27","20397","South Rhody peatland",46.565795,-86.0752,133.5,0,0,1,1,0,0,40,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,8,23,68,28,0,0,5,0,0,31,1
"28","20397","South Rhody peatland",46.565795,-86.0752,137.5,1,0,0,1,3,0,31,1,0,0,0,24,3,0,0,0,0,0,0,0,0,0,12,28,75,27,1,0,7,0,0,12,0
"29","20397","South Rhody peatland",46.565795,-86.0752,143.5,0,0,0,1,1,0,59,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,11,28,84,17,0,0,2,0,0,2,1
"30","20397","South Rhody peatland",46.565795,-86.0752,147.5,2,5,0,0,0,0,45,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,9,30,80,20,1,0,5,0,0,2,1
"31","20397","South Rhody peatland",46.565795,-86.0752,153.5,1,1,0,0,2,0,59,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,6,35,50,29,1,0,7,0,1,5,0
"32","20397","South Rhody peatland",46.565795,-86.0752,157.5,2,2,1,1,0,0,59,1,0,0,0,22,5,0,0,0,0,0,0,0,0,0,12,48,42,30,3,0,10,0,0,5,1
"33","20397","South Rhody peatland",46.565795,-86.0752,163.5,0,1,0,1,2,0,40,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,7,39,88,14,0,0,3,0,0,6,1
"34","20397","South Rhody peatland",46.565795,-86.0752,167.5,5,1,0,2,0,0,50,0,0,0,0,3,3,0,0,1,3,0,0,0,0,0,5,29,78,19,0,0,12,0,0,7,2
"35","20397","South Rhody peatland",46.565795,-86.0752,173.5,2,1,0,1,0,0,34,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,35,92,19,0,0,6,0,0,11,2
"36","20397","South Rhody peatland",46.565795,-86.0752,177.5,4,3,0,0,1,0,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,90,16,0,0,5,0,0,4,1
