"","dataset.id","site.name","lat","long","depth","Acer","Adiantum","Alnus","Amaranthaceae undiff.","Ambrosia","Amorpha","Apiaceae","Artemisia","Asteraceae subf. Asteroideae","Betula","Bidens","Botrychium","Brassicaceae","Campanula","Carya","Caryophyllaceae undiff.","Ceanothus/Rhamnus","Celtis","Corylus","Cyatheaceae","Cyperaceae","Diphasiastrum","Ephedra","Ericaceae undiff.","Fabaceae undiff.","Fagus","Fraxinus","Huperzia","Ilex","Impatiens","Iva","Juglans","Juniperus","Larix","Liliaceae","Lycopodiaceae undiff.","Myrica","Osmundaceae.undiff.","Ostrya/Carpinus","Persicaria","Picea","Pinus subg. Pinus","Pinus subg. Strobus","Pinus undiff.","Platanus","Poaceae undiff.","Populus","Potentilla","Pteridium","Quercus","Rosaceae undiff.","Rumex/Oxyria","Salix","Sarcobatus","Taxus","Thalictrum","Tilia","Tsuga","Ulmus","Urticaceae","Violaceae undiff.","Vitis","Xanthium"
"15","15740","Hemlock Lake",46.3073,-91.19829,95,3,0,13,1,5,0,0,3,2,99,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,11,0,1,5,45,243,0,1,1,0,0,25,0,0,0,0,0,0,0,3,7,0,1,0,0
"16","15740","Hemlock Lake",46.3073,-91.19829,105,5,0,17,0,1,0,0,0,3,89,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,3,0,0,0,0,1,4,0,0,0,0,0,11,1,1,4,46,216,1,10,3,0,2,31,0,0,1,0,0,0,3,5,3,0,0,0,0
"17","15740","Hemlock Lake",46.3073,-91.19829,115,13,0,17,1,2,0,0,2,3,104,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,0,3,3,0,1,0,0,5,0,3,5,45,196,1,7,9,0,1,32,0,0,1,0,0,0,1,0,8,0,0,0,0
"18","15740","Hemlock Lake",46.3073,-91.19829,125,12,0,8,0,1,0,0,4,3,115,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,1,0,0,0,1,8,1,0,0,0,0,6,0,5,5,45,210,0,2,1,0,1,45,0,0,2,0,1,0,2,0,6,0,0,0,0
"19","15740","Hemlock Lake",46.3073,-91.19829,135,9,0,17,1,2,0,0,3,3,96,0,0,0,0,1,0,0,0,1,0,4,0,1,0,0,1,2,0,0,0,0,0,1,2,0,3,0,1,12,2,1,5,45,225,0,3,4,0,3,21,2,0,1,0,1,0,2,3,9,0,0,0,0
"20","15740","Hemlock Lake",46.3073,-91.19829,145,9,0,16,1,4,0,0,3,4,107,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,2,0,0,0,0,4,2,0,0,0,0,4,0,4,1,49,220,1,7,3,0,0,25,0,0,0,0,0,0,1,0,6,0,0,0,0
"21","15740","Hemlock Lake",46.3073,-91.19829,155,9,0,13,0,3,0,0,2,2,84,0,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,53,0,0,0,0,0,5,0,0,1,0,0,11,1,0,3,47,260,0,5,0,0,1,17,0,0,0,0,0,1,2,3,4,0,0,0,0
"22","15740","Hemlock Lake",46.3073,-91.19829,165,3,0,18,0,4,0,0,3,1,65,0,0,1,0,0,0,0,0,5,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,47,237,0,3,0,0,0,26,0,0,0,1,0,0,1,6,8,0,0,0,0
"23","15740","Hemlock Lake",46.3073,-91.19829,175,9,0,30,0,5,0,0,2,4,94,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,8,0,0,6,44,287,0,10,3,0,1,29,0,0,0,0,0,0,2,3,5,0,0,0,0
"24","15740","Hemlock Lake",46.3073,-91.19829,185,13,0,21,0,3,1,0,4,5,74,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,1,5,0,0,7,43,266,0,9,2,0,0,40,0,0,0,1,0,0,1,1,4,0,0,0,0
